Método de Newton:

No intervalo [-1,0]
	k	     xk		   f(xk)	 f'(xk)		   erro
	0	-1.00000000	-16.000000	68.00000000	0.42264973
	1	-0.76470588	-4.500464	32.91306378	0.18735561
	2	-0.62796794	-0.925888	20.14915070	0.05061767
	3	-0.58201623	-0.077823	16.83539233	0.00466596
	4	-0.57739365	-0.000717	16.52595696	0.00004338
	5	-0.57735027	-0.000000	16.52307338	0.00000000
	6	-0.57735027	0.000000	16.52307313	0.00000000

No intervalo [0,1]
	k	     xk		   f(xk)	 f'(xk)		   erro
	0	1.00000000	-8.000000	-28.00000000	0.42264973
	1	0.71428571	-1.831618	-15.72511454	0.13693545
	2	0.59780848	-0.235176	-11.80480344	0.02045822
	3	0.57788642	-0.006004	-11.20557724	0.00053616
	4	0.57735065	-0.000004	-11.18975098	0.00000038
	5	0.57735027	-0.000000	-11.18973979	0.00000000
